"nom de l'enseigne";"date de l'export";"code de l'article";"libellé de l'article";"référence de la marque";"code EAN";"nom de la marque";"prix net HT du client dans l'agence";"prix public HT";"total ecocontribution HT";"disponibilité";"unité de vente (par m², ...)";"libellé unité de vente (par m², ...)";"conditionnement (par m², ...)";"libellé conditionnement (par m², ...)";"code nomenclature niv. 1";"libellé nomenclature niv. 1";"code nomenclature niv. 2";"libellé nomenclature niv. 2";"code nomenclature niv. 3";"libellé nomenclature niv. 3";"code nomenclature niv. 4";"libellé nomenclature niv. 4";"code nomenclature niv. 5";"libellé nomenclature niv. 5"
"dispano";"20211005";"1629898";"Contreplaqué Spruce épicéa qualité II/III poncé extérieur collage WBP 250x125cm 15mm, certifié PEFC 70%";"221314";"3450742917345";"NORSILK";"12.58";"15.71";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3016622";"Contreplaqué Rigaply tout bouleau qualité S/BB brut 1500x3000mm 45mm";"";"";"RIGAWOOD";"95.31";"119.0";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7834604";"Contreplaqué Riga Décor âme bouleau faces placage semi-déroulé bouleau choix AB/B 250x125cm ép. 18mm";"RIGA DÉCOR - OPTI";"";"RIGAWOOD";"42.65";"53.25";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1981332";"Contreplaqué Bouleau qualité BB/BB extérieur collage WBP 150x300cm 21mm, certifié PEFC 70%";"221224";"3450745905448";"NORSILK";"35.81";"44.7";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3013106";"Contreplaqué Rigaply tout bouleau qualité BB/BB brut 1500x3000mm 21mm, certifié PEFC 100%";"";"";"RIGAWOOD";"31.97";"39.9";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3016619";"Contreplaqué Rigaply tout bouleau qualité S/BB brut 1500x3000mm 30mm";"";"";"RIGAWOOD";"53.06";"66.25";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1777319";"Contreplaqué Finnforest Bouleau collage extérieur faces S/BB 150x300cm 18mm Réf. 60078, certifié PEFC 70%";"254629";"3450745911142";"NORSILK";"34.86";"43.52";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3604061";"Contreplaqué Rigaply tout bouleau qualité S/BB brut 1500x3000mm 12mm";"";"";"RIGAWOOD";"19.97";"24.93";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1777318";"Contreplaqué Finnforest Bouleau collage extérieur faces S/BB 150x300cm 15mm Réf. 60077";"254809";"3450745911241";"NORSILK";"31.38";"39.18";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1977620";"Contreplaqué Bouleau qualité BB/BB extérieur collage WBP 150x300cm 18mm, certifié PEFC 70%";"221223";"3450745905349";"NORSILK";"31.33";"37.04";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
